A̱o,Transecto 1,Transecto 2,Transecto 3,Transecto 4,Transecto 5,Transecto 6,Transecto 7,Transecto 8,Transecto 9,Transecto 10,Transecto 11,Transecto 12
1991,5.45803175281554,5.7808231391491605,7.3213488954588595,12.244102728044679,3.6076077375409668,9.545775945774004,4.553289028770895,3.7187707920303845,4.3289521009879515,3.8139915566003766,-0.3538614909311688,5.099481706607019
1992,-1.0966104544922113,-0.9055209164752878,-1.5269605341522183,-0.08444408518544844,0.8843487701489119,-0.5475740381107208,2.749653679397989,0.39082493598886847,0.004516420801087051,-0.017718658666361353,-0.07917667945011786,0.8846166649718645
1993,-0.914822487897122,-1.2642918253463382,-2.1950546012777887,-2.4177317320993605,0.49282725059989985,-0.932289189465972,2.2560870582872434,-0.35324179515564946,-2.2526969563577346,-0.9967674298251721,-1.1354110324875766,-1.8365767361484844
1994,-0.9144306701248204,-1.2628972104411478,-2.192930213592848,-2.4169674491651167,0.4958614303895426,-0.930056800290683,2.2565950538504413,-0.3533024519283625,-2.2514498698463186,-0.9956800145493843,-1.1348057028514091,-1.8363928910066645
1995,-0.9113490894019476,-1.2642145092214436,-2.193745558792192,-2.413053502848558,0.5011711957980163,-0.9289843643644371,2.260359043885515,-0.3510305677493073,-2.247875770802599,-0.9934671341209668,-1.1294325635638671,-1.832234930512755
1996,-0.917627802270141,-1.266951679103081,-2.200095531245368,-2.424754743102312,0.49431787269826066,-0.9341103192621243,2.262022507116585,-0.35442839175079754,-2.2590874755572656,-0.9995463446396226,-1.139253950349202,-1.8422312277522033
1997,0.548962947456189,1.2872083177186315,-1.7691560449348316,-0.47085506899724106,-5.746431352615848,-4.086346014532446,2.72534359659576,3.947004172478677,2.2151912678543564,1.1447549351537896,-1.3754414712960958,-2.4215064708196175
1998,2.346649001430076,1.9959503529358327,2.88918396808422,-5.015180897086737,2.190711295883476,-0.9749241354101521,-1.119575159944242,-0.06155089919255763,4.103347983270545,-6.548604946343799,0.1797815376154066,-1.3534100346130042
1999,-3.4844230467382236,-3.5080785043981577,-0.511678369101098,1.1950444337037816,-3.9549754611960473,2.5530910714801305,-6.559976664155506,-3.6206279698842287,-2.0870807848915565,1.2987192415203639,-1.74020374999834,0.8357808148965047
2000,6.013007193719925,-0.7155583232855367,0.31735853508543777,-6.91726097023399,6.737100475741507,-2.292015423764166,-1.2478524570354703,4.07708008842535,-2.0134599490380474,-1.012275415608693,3.3341136489026884,1.127722486677091
2001,0.4508580272207108,0.6497859415396423,0.579210650526127,-0.72240977732905165,-2.8113829652406466,-0.38249537524565813,-2.054854389441701,-1.078973553783384,-2.1438269838446367,-2.408452574538468,-0.33672109879998935,-1.0464287641887244
2002,-1.3808837339550875,0.0996564869321448,0.3441859790088664,-0.23455988468817068,-1.737902257417777,-0.4114807986853899,-2.282871393386528,-2.1342518957356407,-0.7493501100558859,-1.0979990029846718,-0.06285306998328366,-0.43568941703048036
2003,-1.3742452629986908,0.09899808406209853,0.34553474711884835,-0.22578970961252764,-1.723076062135772,-0.406313468673992,-2.2747574242146253,-2.1298303600189152,-0.7405281547326226,-1.0920650888467005,-0.051416961780331505,-0.4273459772187387
2004,-1.3817991041401962,0.09925687930648319,0.3450814259535342,-0.2316364045530861,-1.7372297960412073,-0.4109763913954607,-2.285523628690674,-2.1379456321082397,-0.748034124928143,-1.0988470463218665,-0.058270773333378045,-0.43329361936267397
2005,-1.3796662993199753,0.09996195082863757,0.3450331865120173,-0.2328891735430787,-1.7345931394471767,-0.4099615816886786,-2.2813703397780127,-2.133532613818832,-0.7475437062370425,-1.0967186496108816,-0.06079493810486447,-0.43425038314075515
2006,-1.3748310059664837,0.09861084515192164,0.3447786011873619,-0.22663912251691443,-1.7250815816260197,-0.40736038964352694,-2.275477461377699,-2.1301219758571523,-0.7415420799532448,-1.0928305873074518,-0.05240607671986908,-0.42796988661371493
2007,-1.3578792982597125,0.12328415906232149,0.3087048261563954,-0.23622591445547414,-1.7129021777701627,-0.42784148409540634,-2.220639219214675,-2.102653028911403,-0.7688544148455883,-1.0838674752810888,-0.09041632414489342,-0.479350784069152
2008,0.3318870476175002,2.0676557487249188,-2.4061890446939564,-0.5118362023537486,0.08715274027388631,-1.7104879196590197,2.5321767969987032,0.2851525857165349,-2.4305965946129824,-0.04696395439775891,-2.4688506301879514,-4.078424018594404
2009,1.3922682922374339,3.0576169963510913,-4.6844151233037294,-0.8597024422722725,0.8278495585465606,-3.0667498969117393,5.4961919458525355,1.8168580308076496,-3.7226329223100514,0.5196568336332206,-4.194936542637766,-6.592356023617869
